match_id,series_id,match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target,year
304744,124121,"North Group:Durham v Nottinghamshire at Chester-le-Street- Jun 13, 2003",Durham won by 6 wickets (with 5 balls remaining),Nottinghamshire 157/7 (20/20 ov); Durham 160/4 (19.1/20 ov),2003-06-13,Chester-le-Street,North Group,Durham,Nottinghamshire,Durham,,6.0,5.0,Nottinghamshire,157.0,7.0,20.0,20.0,Durham,160.0,4.0,19.1,20.0,,,2003
129610,124121,"South Group:Hampshire v Sussex at Southampton- Jun 13, 2003",Hampshire won by 5 runs,Hampshire 153 (19.4/20 ov); Sussex 148/7 (20/20 ov),2003-06-13,Southampton,South Group,Hampshire,Sussex,Hampshire,5.0,,,Hampshire,153.0,10.0,19.4,20.0,Sussex,148.0,7.0,20.0,20.0,,,2003
129597,124121,"Midlands/Wales/West Group:Somerset v Warwickshire at Taunton- Jun 13, 2003",Warwickshire won by 19 runs,Warwickshire 188/7 (20/20 ov); Somerset 169 (20/20 ov),2003-06-13,Taunton,Midlands/Wales/West Group,Somerset,Warwickshire,Warwickshire,19.0,,,Warwickshire,188.0,7.0,20.0,20.0,Somerset,169.0,10.0,20.0,20.0,,,2003
304745,124121,"South Group:Surrey v Middlesex at The Oval- Jun 13, 2003",Surrey won by 4 wickets (with 4 balls remaining),Middlesex 155 (20/20 ov); Surrey 158/6 (19.2/20 ov),2003-06-13,The Oval,South Group,Surrey,Middlesex,Surrey,,4.0,4.0,Middlesex,155.0,10.0,20.0,20.0,Surrey,158.0,6.0,19.2,20.0,,,2003
304746,124121,"Midlands/Wales/West Group:Worcestershire v Northamptonshire at Worcester- Jun 13, 2003",Worcestershire won by 1 wicket (with 2 balls remaining),Northamptonshire 150/9 (20/20 ov); Worcestershire 151/9 (19.4/20 ov),2003-06-13,Worcester,Midlands/Wales/West Group,Worcestershire,Northamptonshire,Worcestershire,,1.0,2.0,Northamptonshire,150.0,9.0,20.0,20.0,Worcestershire,151.0,9.0,19.4,20.0,,,2003
304747,124121,"Midlands/Wales/West Group:Gloucestershire v Worcestershire at Bristol- Jun 14, 2003",Gloucestershire won by 4 wickets (with 5 balls remaining),Worcestershire 122 (19.5/20 ov); Gloucestershire 126/6 (19.1/20 ov),2003-06-14,Bristol,Midlands/Wales/West Group,Gloucestershire,Worcestershire,Gloucestershire,,4.0,5.0,Worcestershire,122.0,10.0,19.5,20.0,Gloucestershire,126.0,6.0,19.1,20.0,,,2003
304748,124121,"South Group:Surrey v Essex at East Molesey- Jun 14, 2003",Surrey won by 44 runs,Surrey 182/9 (20/20 ov); Essex 138 (18.5/20 ov),2003-06-14,East Molesey,South Group,Surrey,Essex,Surrey,44.0,,,Surrey,182.0,9.0,20.0,20.0,Essex,138.0,10.0,18.5,20.0,,,2003
304749,124121,"North Group:Yorkshire v Derbyshire at Leeds- Jun 14, 2003",Yorkshire won by 45 runs,Yorkshire 186/5 (20/20 ov); Derbyshire 141 (18.1/20 ov),2003-06-14,Leeds,North Group,Yorkshire,Derbyshire,Yorkshire,45.0,,,Yorkshire,186.0,5.0,20.0,20.0,Derbyshire,141.0,10.0,18.1,20.0,,,2003
304750,124121,"Midlands/Wales/West Group:Glamorgan v Northamptonshire at Cardiff- Jun 16, 2003",Northamptonshire won by 23 runs,Northamptonshire 159/5 (20/20 ov); Glamorgan 136 (18.4/20 ov),2003-06-16,Cardiff,Midlands/Wales/West Group,Glamorgan,Northamptonshire,Northamptonshire,23.0,,,Northamptonshire,159.0,5.0,20.0,20.0,Glamorgan,136.0,10.0,18.4,20.0,,,2003
129665,124121,"South Group:Kent v Hampshire at Beckenham- Jun 16, 2003",Kent won by 6 wickets (with 48 balls remaining),Hampshire 145/6 (20/20 ov); Kent 147/4 (12/20 ov),2003-06-16,Beckenham,South Group,Kent,Hampshire,Kent,,6.0,48.0,Hampshire,145.0,6.0,20.0,20.0,Kent,147.0,4.0,12.0,20.0,,,2003
